time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-16T12:20:48.150Z,36.2748,-97.511,1.22,2.9,mb_lg,,26,0.206,0.17,us,us2000g653,2018-07-17T00:53:24.237Z,"20km W of Perry, Oklahoma",earthquake,1,0.8,0.054,88,reviewed,us,us
2018-07-16T11:02:23.200Z,46.6233333,-120.52,14.73,2.53,ml,15,113,0.09715,0.2,uw,uw61409041,2018-07-16T14:30:00.000Z,"2km NNW of Yakima, Washington",earthquake,0.57,1.36,0.038,3,reviewed,uw,uw
2018-07-16T01:15:17.630Z,40.3746681,-124.5059967,20.79,2.51,md,15,283,0.1634,0.14,nc,nc73046751,2018-07-16T02:40:25.419Z,"20km WNW of Petrolia, CA",earthquake,3.79,0.51,0.12,6,automatic,nc,nc
2018-07-16T01:00:07.030Z,41.3289,-100.0747,5,2.8,mb_lg,,66,1.387,0.63,us,us2000g5uf,2018-07-16T22:50:03.179Z,"37km WSW of Broken Bow, Nebraska",earthquake,4,2,0.05,104,reviewed,us,us
2018-07-15T19:23:40.520Z,38.681,-122.738,5.8,2.78,md,77,48,0.06312,0.11,nc,nc73046671,2018-07-16T23:05:02.493Z,"11km S of The Geysers, CA",earthquake,0.13,0.35,0.149,65,reviewed,nc,nc
2018-07-15T18:52:57.750Z,37.7066667,-122.1035,5.35,2.85,ml,109,22,0.01799,0.12,nc,nc73046656,2018-07-17T09:43:46.012Z,"2km NW of Castro Valley, CA",earthquake,0.1,0.16,0.153,51,reviewed,nc,nc
2018-07-14T22:28:53.353Z,37.0699,-117.0714,7.6,2.6,ml,63,67.72,0.095,0.2031,nn,nn00644605,2018-07-15T23:06:35.496Z,"33km WNW of Beatty, Nevada",earthquake,,1.2,0.36,38,reviewed,nn,nn
2018-07-14T14:37:55.530Z,38.8221664,-122.7983322,4.59,2.54,md,14,78,0.06832,0.06,nc,nc73045616,2018-07-15T19:24:08.932Z,"6km NW of The Geysers, CA",earthquake,0.29,0.67,0.22,14,automatic,nc,nc
2018-07-14T03:51:57.890Z,44.2961667,-114.9666667,5.61,2.72,ml,11,74,0.835,0.25,mb,mb80301939,2018-07-14T13:57:20.230Z,"62km WSW of Challis, Idaho",earthquake,0.56,1.24,0.203,10,reviewed,mb,mb
2018-07-14T00:11:05.220Z,46.617,-120.5301667,16.4,2.65,ml,37,60,0.09051,0.21,uw,uw61408296,2018-07-14T00:49:17.818Z,"2km NW of Yakima, Washington",earthquake,0.39,0.63,0.129,18,reviewed,uw,uw
2018-07-13T21:00:06.400Z,31.2272,-103.5517,1.18,2.8,mb_lg,,66,0.305,0.32,us,us2000g4kt,2018-07-16T00:48:56.982Z,"22km SSW of Pecos, Texas",earthquake,2.1,2.7,0.083,51,reviewed,us,us
2018-07-13T19:40:29.080Z,40.7193333,-124.5391667,17.32,2.81,md,46,228,0.2879,0.06,nc,nc73044926,2018-07-17T11:10:44.597Z,"28km NW of Ferndale, CA",earthquake,0.36,0.3,0.141,59,reviewed,nc,nc
2018-07-13T19:09:06.870Z,39.4945,-122.9598333,12.36,2.5,md,40,42,0.1862,0.09,nc,nc73044886,2018-07-13T23:28:02.846Z,"10km N of Lake Pillsbury, CA",earthquake,0.21,0.48,0.264,42,reviewed,nc,nc
2018-07-13T18:32:18.550Z,44.2963333,-114.9536667,9.47,2.54,ml,5,130,0.831,0.2,mb,mb80301864,2018-07-13T20:31:13.860Z,"61km WSW of Challis, Idaho",earthquake,0.65,2.82,0.199,7,reviewed,mb,mb
2018-07-13T18:07:45.210Z,44.2815,-114.9911,5,2.6,ml,,66,0.831,1.13,us,us2000g4ia,2018-07-14T15:33:53.040Z,"65km WSW of Challis, Idaho",earthquake,2.2,1.9,0.043,72,reviewed,us,us
2018-07-13T18:04:54.640Z,44.301,-114.9693,5,3.2,ml,,64,0.84,1.06,us,us2000g4dj,2018-07-14T17:20:08.906Z,"62km WSW of Challis, Idaho",earthquake,3,1.9,0.034,114,reviewed,us,us
2018-07-13T17:24:55.410Z,44.2945,-114.9686667,4.94,2.67,ml,13,74,0.834,0.35,mb,mb80301799,2018-07-13T19:58:02.310Z,"63km WSW of Challis, Idaho",earthquake,0.69,1.64,0.239,18,reviewed,mb,mb
2018-07-13T17:12:03.650Z,44.3021667,-114.9493333,5.41,2.5,ml,7,90,0.835,0.23,mb,mb80301794,2018-07-13T19:49:23.510Z,"61km WSW of Challis, Idaho",earthquake,0.71,2.06,0.049,5,reviewed,mb,mb
2018-07-13T09:33:22.010Z,31.3829,-103.5092,1.6,2.5,mb_lg,,59,0.306,0.55,us,us2000g3uf,2018-07-13T16:01:07.985Z,"4km SSW of Pecos, Texas",earthquake,1.4,7.1,0.082,39,reviewed,us,us
2018-07-13T08:50:41.350Z,46.6116667,-120.5318333,16.46,2.56,ml,31,93,0.08518,0.19,uw,uw61408031,2018-07-13T21:57:46.350Z,"2km WNW of Yakima, Washington",earthquake,0.44,0.83,0.138,12,reviewed,uw,uw
2018-07-13T07:44:22.450Z,37.56,-118.8478333,7.91,2.67,md,37,101,0.03346,0.03,nc,nc73044441,2018-07-14T02:09:03.735Z,"14km SE of Mammoth Lakes, CA",earthquake,0.21,0.43,0.112,31,reviewed,nc,nc
2018-07-13T06:06:05.240Z,36.4306,-98.7652,5,3.2,mb_lg,,56,0.051,0.44,us,us2000g3qk,2018-07-16T13:03:12.076Z,"31km NW of Fairview, Oklahoma",earthquake,1.6,1.9,0.048,114,reviewed,us,us
2018-07-12T20:24:51.000Z,33.848,-118.0003333,19.23,2.91,ml,134,25,0.04127,0.22,ci,ci38220008,2018-07-17T10:06:51.868Z,"2km S of Buena Park, CA",earthquake,0.14,0.23,0.14,212,reviewed,ci,ci
2018-07-11T13:21:25.340Z,38.0585,-112.4008333,6.5,3.12,ml,30,48,0.1718,0.33,uu,uu60288487,2018-07-13T18:59:19.429Z,"25km SW of Junction, Utah",earthquake,0.5,1.6,0.097,22,reviewed,uu,uu
2018-07-11T12:09:45.720Z,44.613,-124.3475,25.41,3,ml,17,229,0.2154,0.08,uw,uw61395262,2018-07-15T12:27:12.569Z,"24km W of Newport, Oregon",earthquake,0.41,0.53,0.242,12,reviewed,uw,uw
2018-07-10T20:07:48.600Z,27.7403,-105.6446,10,4.2,mb,,105,0.8,0.8,us,us2000g1j3,2018-07-13T20:08:15.018Z,"20km SW of Naica, Mexico",earthquake,4,1.8,0.065,66,reviewed,us,us
2018-07-10T11:56:35.760Z,36.8437,-97.7007,2.62,2.6,mb_lg,,32,0.127,0.34,us,us2000g13l,2018-07-10T13:22:03.402Z,"5km NE of Medford, Oklahoma",earthquake,1.1,2.3,0.069,55,reviewed,us,us
2018-07-10T11:08:37.420Z,34.0108333,-117.5846667,4.31,3.57,ml,199,11,0.02013,0.23,ci,ci37277082,2018-07-16T04:57:10.985Z,"6km SE of Ontario, CA",earthquake,0.1,0.3,0.176,345,reviewed,ci,ci
2018-07-10T07:18:17.410Z,36.2912,-97.5354,7.11,3.6,mb_lg,,40,0.204,0.18,us,us2000g0xg,2018-07-15T03:42:07.072Z,"22km W of Perry, Oklahoma",earthquake,1.1,2.4,0.044,137,reviewed,us,us
2018-07-10T04:30:02.680Z,39.5871667,-120.6676667,6.46,2.86,md,35,52,0.1701,0.12,nc,nc73042541,2018-07-14T02:40:15.332Z,"18km SW of Whitehawk, CA",earthquake,0.24,1.29,0.216,56,reviewed,nc,nc
2018-07-10T00:00:07.050Z,37.1251667,-121.5265,7.26,3.06,ml,89,51,0.06921,0.06,nc,nc73042391,2018-07-15T19:36:12.606Z,"9km ENE of San Martin, CA",earthquake,0.09,0.28,0.132,47,reviewed,nc,nc
2018-07-09T15:23:23.580Z,31.5751667,-115.6855,7.79,2.7,ml,9,127,0.2016,0.07,ci,ci37276546,2018-07-10T00:46:01.911Z,"85km E of Maneadero, B.C., MX",earthquake,0.22,0.79,0.096,16,reviewed,ci,ci
2018-07-09T13:20:53.700Z,36.5394,-98.9611,6.433,2.6,ml,,86,,0.25,us,us2000g0c7,2018-07-10T07:31:05.973Z,"24km ENE of Mooreland, Oklahoma",earthquake,3.1,5.2,,,reviewed,tul,tul
2018-07-09T11:11:11.550Z,33.877,-116.2025,9,2.72,ml,68,56,0.05405,0.15,ci,ci37276426,2018-07-10T11:40:47.378Z,"17km N of Indio, CA",earthquake,0.16,0.45,0.155,25,reviewed,ci,ci
2018-07-09T10:24:38.900Z,40.3973333,-124.8988333,4.89,2.65,md,50,259,0.4355,0.18,nc,nc73042161,2018-07-11T04:24:02.791Z,"53km W of Petrolia, CA",earthquake,0.64,1.09,0.17,46,reviewed,nc,nc
2018-07-09T08:33:58.150Z,38.0663333,-112.4016667,0.01,2.67,ml,24,54,0.1734,0.25,uu,uu60288267,2018-07-11T14:43:30.640Z,"26km SE of Beaver, Utah",earthquake,0.48,4.17,0.12,16,reviewed,uu,uu
2018-07-09T02:53:46.510Z,31.6636,-104.5034,5,3,ml,,69,0.966,0.34,us,us2000g01a,2018-07-10T18:17:59.259Z,"75km NNE of Van Horn, Texas",earthquake,2.6,2,0.091,48,reviewed,us,us
2018-07-08T12:18:56.900Z,36.2793,-97.5044,6.647,2.5,ml,,50,,0.17,us,us2000fztj,2018-07-16T06:20:25.040Z,"19km W of Perry, Oklahoma",earthquake,1.1,2.4,,,reviewed,tul,tul
2018-07-07T21:50:12.550Z,36.9904,-97.4976,5.2,3.2,mb_lg,,52,0.027,0.26,us,us2000fzbf,2018-07-11T20:08:25.681Z,"10km ESE of Caldwell, Kansas",earthquake,1.7,3.3,0.049,108,reviewed,us,us
2018-07-07T15:37:03.560Z,34.8028333,-116.2788333,3.14,3.55,ml,38,60,0.05327,0.16,ci,ci37275802,2018-07-10T00:14:26.969Z,"14km NW of Ludlow, CA",earthquake,0.15,0.55,0.155,316,reviewed,ci,ci
2018-07-07T12:51:42.122Z,41.2208,-116.2746,4.1,3.3,ml,21,132.47,0.217,0.1143,nn,nn00643364,2018-07-13T09:15:28.040Z,"58km NNW of Carlin, Nevada",earthquake,,2,0.12,13,reviewed,nn,nn
2018-07-06T17:30:31.640Z,45.3703,-112.0948,10.32,2.8,ml,,41,0.398,1.3,us,us2000fyer,2018-07-06T21:17:50.220Z,"14km NW of Virginia City, Montana",earthquake,3.5,11.1,0.049,54,reviewed,us,us
2018-07-06T16:26:03.346Z,37.1583,-117.3757,12.2,2.5,ml,43,43.22,0.163,0.1953,nn,nn00643206,2018-07-12T17:11:41.062Z,"61km WNW of Beatty, Nevada",earthquake,,0.7,0.23,25,reviewed,nn,nn
2018-07-06T09:29:42.500Z,34.742,-87.6756667,8.16,2.79,md,13,49,0.3979,0.12,se,se60058923,2018-07-08T04:52:21.376Z,"0km WSW of Muscle Shoals, Alabama",earthquake,0.41,1,0.051,10,reviewed,se,se
2018-07-06T03:34:02.690Z,31.6096667,-116.028,7.35,2.59,ml,15,187,0.3013,0.1,ci,ci37275146,2018-07-06T18:22:45.469Z,"52km ESE of Maneadero, B.C., MX",earthquake,0.32,0.68,0.16,20,reviewed,ci,ci
2018-07-05T18:57:51.620Z,32.9556667,-116.326,9.98,2.59,ml,77,55,0.1029,0.19,ci,ci37274930,2018-07-06T06:52:39.083Z,"24km NE of Pine Valley, CA",earthquake,0.15,0.5,0.156,25,reviewed,ci,ci
2018-07-05T15:48:52.770Z,35.0255,-119.0661667,9.38,2.82,ml,64,44,0.1467,0.26,ci,ci37274834,2018-07-09T16:18:07.231Z,"15km NW of Grapevine, CA",earthquake,0.22,0.63,0.157,24,reviewed,ci,ci
2018-07-05T15:17:36.947Z,35.8945,-115.7758,8.6,4.5,ml,59,40.27,0.303,0.2678,nn,nn00642964,2018-07-16T20:03:59.779Z,"15km WNW of Sandy Valley, Nevada",earthquake,,1.3,0.33,17,reviewed,nn,nn
2018-07-05T10:04:00.760Z,41.22,-100.052,5,2.7,mb_lg,,77,1.444,0.76,us,us2000fxaz,2018-07-05T13:09:32.792Z,"33km NNE of Gothenburg, Nebraska",earthquake,2.9,1.6,0.193,7,reviewed,us,us
2018-07-05T01:09:30.890Z,44.3715,-110.4275,11.11,2.5,ml,21,112,0.08536,0.18,uu,uu60287717,2018-07-05T15:06:09.630Z,"33km ESE of Old Faithful Geyser, Wyoming",earthquake,0.4,0.6,0.067,3,reviewed,uu,uu
2018-07-04T12:02:03.960Z,36.2097,-98.4729,5,2.5,mb_lg,,59,0.223,0.22,us,us2000fwt6,2018-07-04T12:19:23.040Z,"6km S of Fairview, Oklahoma",earthquake,1.2,1.9,0.081,40,reviewed,us,us
2018-07-04T00:44:59.940Z,35.982,-117.9696667,4.13,2.54,ml,34,87,0.06922,0.1,ci,ci37274274,2018-07-05T21:15:01.040Z,"7km SSW of Coso Junction, CA",earthquake,0.13,0.33,0.216,25,reviewed,ci,ci
